City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
387,Canberra,AU,-35.2835,149.1281,69.75,63,40,1.01,light rain
388,Korem,ET,12.5058,39.5228,52.99,43,0,2.77,clear sky
389,Maldonado,UY,-34.6667,-54.9167,65.59,97,18,3.42,few clouds
390,Asyut,EG,27.181,31.1837,51.98,66,97,4.27,overcast clouds
391,Biak,ID,-0.9131,122.8766,83.48,73,100,1.45,overcast clouds
392,Ritchie,ZA,-29.038,24.6028,58.21,50,0,7.63,clear sky
393,Ancud,CL,-41.8697,-73.8203,58.42,81,0,2.06,clear sky
394,Alofi,NU,-19.0595,-169.9187,82.29,65,75,18.41,broken clouds
395,Hudson Bay,CA,52.85,-102.3842,-12.39,93,59,7.14,broken clouds
396,Kodinsk,RU,58.6881,99.1844,26.15,96,100,2.8,light snow
397,Kokopo,PG,-4.352,152.2633,82.29,78,52,3.04,moderate rain
398,Yanam,IN,16.7333,82.2167,86.4,62,13,5.23,few clouds
399,Salina,US,38.8403,-97.6114,41.18,36,1,24.16,clear sky
400,Ridgecrest,US,35.6225,-117.6709,59.43,21,1,5.75,clear sky
401,Pacifica,US,37.6138,-122.4869,56.68,92,20,1.01,mist
402,Eyl,SO,7.9803,49.8164,78.37,61,12,17.0,few clouds
403,Mabaruma,GY,8.2,-59.7833,72.54,98,52,2.21,broken clouds
404,Edeia,BR,-17.3383,-49.9314,70.5,88,60,4.9,broken clouds
405,Anloga,GH,5.7947,0.8973,81.05,82,60,11.36,broken clouds
406,Duma,CN,34.7653,108.135,46.47,25,1,4.56,clear sky
407,Yahotyn,UA,50.2798,31.7625,30.11,97,100,10.94,light snow
408,Baiyin,CN,36.5583,104.2081,37.33,26,37,3.74,scattered clouds
409,Faya,SA,18.3851,42.4509,57.72,40,0,2.86,clear sky
410,Tynda,RU,55.1667,124.7167,10.53,65,69,3.71,broken clouds
411,Hohhot,CN,40.8106,111.6522,34.09,29,0,2.24,clear sky
412,Namatanai,PG,-3.6667,152.4333,85.24,68,60,5.86,light rain
413,Pevek,RU,69.7008,170.3133,-9.53,96,100,16.62,light snow
414,Koumra,TD,8.9126,17.5539,74.25,32,77,5.01,broken clouds
415,Nador,MA,35.174,-2.9287,57.45,67,0,13.8,clear sky
416,Sibolga,ID,1.7427,98.7792,86.38,61,75,4.54,broken clouds
417,Pangody,RU,65.85,74.4859,-23.53,98,16,10.04,few clouds
418,Naze,JP,28.3667,129.4833,64.98,61,90,11.59,overcast clouds
419,Wilmington,US,34.2257,-77.9447,60.85,95,75,0.0,broken clouds
420,Olds,CA,51.7834,-114.102,1.85,92,87,6.64,overcast clouds
421,Bouca,CF,6.5105,18.2733,71.56,58,86,0.74,overcast clouds
422,Camacupa,AO,-12.0167,17.4833,62.04,94,100,3.11,overcast clouds
423,La Asuncion,VE,11.0333,-63.8628,78.71,81,86,16.87,overcast clouds
424,Nuuk,GL,64.1835,-51.7216,22.86,77,100,21.94,light snow
425,Jardim,BR,-21.4803,-56.1381,76.24,58,37,3.4,scattered clouds
426,Urusha,RU,54.05,122.9,15.26,57,79,4.72,broken clouds
427,Gorontalo,ID,0.5412,123.0595,84.65,77,100,3.38,overcast clouds
428,Harper,LR,4.375,-7.7169,79.12,84,46,7.85,light rain
429,Manokwari,ID,-0.8667,134.0833,84.0,74,88,3.51,overcast clouds
430,Corinto,GR,37.9407,22.9573,57.69,82,35,6.38,scattered clouds
431,Mazeikiai,LT,56.3167,22.3333,9.68,95,26,5.91,scattered clouds
432,Gbadolite,CD,4.2833,21.0167,71.91,87,96,2.55,overcast clouds
433,Pisco,PE,-13.7,-76.2167,66.25,82,0,10.36,clear sky
434,Seoul,KR,37.5683,126.9778,51.37,37,0,3.44,clear sky
435,Crixas,BR,-14.5489,-49.9692,70.05,95,10,1.14,clear sky
436,Ketchikan,US,55.3422,-131.6461,25.27,93,75,3.44,broken clouds
437,Chicama,PE,-7.8447,-79.1469,65.48,87,100,5.7,overcast clouds
438,Plettenberg Bay,ZA,-34.0527,23.3716,63.9,94,100,8.08,moderate rain
439,Kindu,CD,-2.95,25.95,70.27,99,100,1.3,overcast clouds
440,Salta,AR,-24.7859,-65.4117,66.49,96,90,1.99,drizzle
441,Macia,MZ,-25.0269,33.0989,84.07,50,85,12.28,overcast clouds
442,Klaksvik,FO,62.2266,-6.589,38.32,71,100,31.47,overcast clouds
443,Bridlington,GB,54.0831,-0.1919,40.14,81,100,13.13,overcast clouds
444,Ciudad Real,ES,39.0,-4.0,38.1,94,16,1.01,few clouds
445,Alvorada,BR,-12.48,-49.1247,71.24,94,24,1.81,few clouds
446,Lata,PT,40.1629,-8.3327,48.92,96,37,1.79,scattered clouds
447,Shimanovsk,RU,52.0,127.7,17.64,68,27,10.49,scattered clouds
448,Saryg-Sep,RU,51.5,95.6,11.91,85,100,1.45,overcast clouds
449,Bilibino,RU,68.0546,166.4372,-20.06,98,100,3.2,overcast clouds
450,Bolgatanga,GH,10.7856,-0.8514,73.18,18,51,6.46,broken clouds
