City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Puerto Escondido,MX,77.74,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
223,Naqadeh,IR,40.6,broken clouds,36.9553,45.388,ایبنه شربین اووی
224,Prijepolje,RS,37.04,overcast clouds,43.3719,19.6406,LimArt Atelier
225,Freetown,SL,79.38,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
226,Tabuk,PH,77.76,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
227,Lasa,IT,22.37,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
228,Poum,NC,81.63,scattered clouds,-20.2333,164.0167,Gîte kajeon
229,Sibu,MY,75.24,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
230,Santa Maria,BR,61.61,clear sky,-29.6842,-53.8069,Hotel Morotin
231,Burayevo,RU,12.16,broken clouds,55.8407,55.4083,"Gostnitsa ""Tanyp"""
232,San Jeronimo,PE,49.89,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
233,Kutum,SD,59.9,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
234,Baracoa,CU,77.79,broken clouds,20.3467,-74.4958,Hostal Rio Miel
